2022020000	6.13
2022020001	9.86
2022020002	5.22
2022020003	8.58
2022020004	7.97
2022020005	5.72
2022020006	5.37
2022020007	9.24
2022020008	7.29
2022020009	5.78
2022020010	6.88
2022020011	8.52
2022020012	5.85
2022020013	5.05
2022020014	8.0
2022020015	8.89
2022020016	5.07
2022020017	3.05
2022020018	8.75
2022020019	8.52
2022020020	6.48
2022020021	3.6
2022020022	9.73
2022020023	8.03
2022020024	9.12
2022020025	8.62
2022020026	4.85
2022020027	8.65
2022020028	5.67
2022020029	5.7
2022020030	7.75
2022020031	7.87
2022020032	5.11
2022020033	6.14
2022020034	1.06
2022020035	5.76
2022020036	0.44
2022020037	5.45
2022020038	6.88
2022020039	1.45
2022020040	5.02
2022020041	3.91
2022020042	8.16
2022020043	7.4
2022020044	5.17
2022020045	9.97
2022020046	5.39
2022020047	5.27
2022020048	8.27
2022020049	8.18
2022020050	5.18
2022020051	5.7
2022020052	8.45
2022020053	9.9
2022020054	6.82
2022020055	7.02
2022020056	6.61
2022020057	9.09
2022020058	6.21
2022020059	5.4
2022020060	7.03
2022020061	7.17
2022020062	8.34
2022020063	7.92
2022020064	6.62
2022020065	2.79
2022020066	8.12
2022020067	4.75
2022020068	8.48
2022020069	6.43
2022020070	5.78
2022020071	6.86
2022020072	6.71
2022020073	9.52
2022020074	6.79
2022020075	7.28
2022020076	0.86
2022020077	2.91
2022020078	6.48
2022020079	0.3
2022020080	8.32
2022020081	8.79
2022020082	8.91
2022020083	6.79
2022020084	4.9
2022020085	6.32
2022020086	7.92
2022020087	9.64
2022020088	9.19
2022020089	6.93
2022020090	0.07
2022020091	6.76
2022020092	9.43
2022020093	8.19
2022020094	5.52
2022020095	4.21
2022020096	7.76
2022020097	6.75
2022020098	7.27
2022020099	9.06
